company_name,high,low,last_price,prev_close,change,percent_gain
Infibeam Avenue,41.25,40.75,40.85,40.70,0.15,0.37
ICICI Securitie,836.00,820.00,823.45,820.40,3.05,0.37
IOC,125.00,123.20,123.75,123.30,0.45,0.36
Yes Bank,14.20,14.00,14.10,14.05,0.05,0.36
L&T Infotech,"7,127.80","6,976.10","7,103.00","7,078.35",24.65,0.35
TATA Cons. Prod,771.35,759.25,765.10,762.50,2.60,0.34
Eris Life,748.75,738.65,745.00,742.55,2.45,0.33
Polycab,"2,739.85","2,691.70","2,702.75","2,693.90",8.85,0.33
Zee Entertain,325.00,320.40,323.60,322.55,1.05,0.33
Balrampur Chini,451.80,431.00,443.05,441.65,1.40,0.32
JB Chemicals,"1,748.00","1,722.75","1,732.40","1,726.90",5.50,0.32
SJVN,32.10,31.20,31.40,31.30,0.10,0.32
Divis Labs,"4,668.00","4,561.00","4,630.35","4,616.60",13.75,0.3
Marico,503.10,494.35,501.05,499.55,1.50,0.3
Star Cement,101.00,99.80,100.40,100.10,0.30,0.3
MOIL,174.35,170.85,171.55,171.05,0.50,0.29
MAS Financial S,614.95,598.00,601.30,599.55,1.75,0.29
GAIL,145.30,140.75,144.70,144.30,0.40,0.28
Bajaj Finance,"7,910.00","7,801.55","7,852.60","7,832.20",20.40,0.26
United Spirits,958.00,937.55,946.55,944.20,2.35,0.25
BHEL,64.60,63.55,63.85,63.70,0.15,0.24
Colgate,"1,472.90","1,453.25","1,467.15","1,463.60",3.55,0.24
Graphite India,563.00,544.70,554.55,553.20,1.35,0.24
Mahindra Holida,211.50,206.00,207.15,206.65,0.50,0.24
Ashoka Buildcon,105.50,103.75,104.15,103.95,0.20,0.19
Endurance Techn,"1,736.15","1,685.00","1,705.05","1,701.80",3.25,0.19
Titan Company,"2,604.30","2,550.40","2,597.55","2,592.75",4.80,0.19
Elgi Equipments,361.90,356.25,359.40,358.75,0.65,0.18
Glenmark,520.00,505.00,516.95,516.00,0.95,0.18
Gillette India,"5,298.80","5,195.05","5,216.45","5,207.60",8.85,0.17
Oberoi Realty,982.75,951.60,975.65,973.95,1.70,0.17
TCNS Clothing C,812.95,790.20,803.10,801.70,1.40,0.17
Bank of Baroda,94.70,93.15,93.75,93.60,0.15,0.16
Torrent Power,583.00,574.25,579.80,578.85,0.95,0.16
CAMS,"2,971.50","2,931.00","2,949.60","2,945.30",4.30,0.15
Timken,"2,095.35","2,054.00","2,076.75","2,073.65",3.10,0.15
Linde India,"2,649.00","2,570.00","2,590.55","2,586.80",3.75,0.14
KEI Industries,"1,187.30","1,156.65","1,170.55","1,169.15",1.40,0.12
Union Bank,46.10,45.30,45.65,45.60,0.05,0.11
Relaxo Footwear,"1,369.70","1,327.10","1,332.70","1,331.50",1.20,0.09
Spandana Sphoor,395.95,388.10,390.55,390.20,0.35,0.09
Ipca Labs,"1,078.80","1,055.90","1,063.10","1,062.35",0.75,0.07
Lux Industries,"3,729.55","3,639.00","3,690.85","3,688.15",2.70,0.07
Firstsource Sol,180.70,177.60,178.20,178.10,0.10,0.06
Just Dial,891.00,865.20,881.10,880.55,0.55,0.06
Delta Corp,301.40,289.10,296.10,295.95,0.15,0.05
Balaji Amines,"3,692.25","3,620.00","3,645.00","3,643.05",1.95,0.05
Bliss GVS,100.10,99.20,99.45,99.40,0.05,0.05
IndusInd Bank,931.90,912.25,920.50,920.05,0.45,0.05
Responsive Ind,185.05,182.75,184.85,184.75,0.10,0.05
Tata Chemicals,"1,034.65",996.75,"1,029.25","1,028.75",0.50,0.05
General Insuran,142.55,140.90,141.30,141.25,0.05,0.04
Hatsun Agro,"1,234.00","1,220.30","1,224.30","1,223.90",0.40,0.03
Johnson Control,"1,964.00","1,937.00","1,945.70","1,945.25",0.45,0.02
Canara Bank,230.35,227.10,227.70,227.65,0.05,0.02
UPL,830.70,815.70,824.75,824.65,0.10,0.01
